"type_name","team_name","selected_by","total_points","team_code","team_id","status","first_name","second_name","now_cost","value_form","value_season","points_per_game","ep_next","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","ea_index","bps","team"
"Midfielder","Crystal Palace",0,0,31,5,"u","José","Campaña",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Midfielder","Crystal Palace",0,3,31,5,"u","Stuart","O'Keefe",45,0,0.7,1.5,0,83,0,0,0,4,0,0,0,0,0,0,0,4,16,5
"Midfielder","Crystal Palace",0,0,31,5,"u","Jimmy","Kebe",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Midfielder","Crystal Palace",0,6,31,5,"a","Adlène","Guédioura",44,0.1,1.4,0.9,0.3,127,0,0,0,2,0,0,0,1,0,0,0,18,18,5
"Midfielder","Crystal Palace",0.3,0,31,5,"a","Hiram","Boateng",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Midfielder","Crystal Palace",0.1,65,31,5,"a","Joe","Ledley",53,0.8,12.3,3,4.3,1911,2,1,5,30,0,0,0,0,0,0,4,250,305,5
"Forward","Crystal Palace",0,10,31,5,"a","Glenn","Murray",51,0.3,2,1.7,1.5,133,1,0,0,2,0,0,0,1,0,0,0,34,20,5
"Forward","Crystal Palace",1.5,61,31,5,"a","Dwight","Gayle",50,0.3,12.2,3.2,1.8,894,5,2,2,14,0,0,0,0,0,0,8,201,206,5
"Forward","Crystal Palace",0,0,31,5,"u","Stephen","Dobbie",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Forward","Crystal Palace",0.4,34,31,5,"i","Marouane","Chamakh",52,0.1,6.5,2.3,0,1003,1,2,1,16,0,0,0,4,0,0,2,118,106,5
"Goalkeeper","Everton",9.1,46,11,6,"a","Tim","Howard",51,0.2,9,2.3,1.3,1755,0,0,3,31,0,0,0,2,0,41,0,160,227,6
"Goalkeeper","Everton",0.1,26,11,6,"a","Joel","Robles",49,0.7,5.3,3.7,3.3,585,0,0,3,6,0,0,0,1,0,15,0,50,105,6
"Defender","Everton",12.4,91,11,6,"a","Phil","Jagielka",56,0.9,16.2,3.6,5,2205,2,0,6,34,0,0,0,0,0,0,17,303,547,6
"Defender","Everton",0.1,7,11,6,"i","Tony","Hibbert",43,0,1.6,1.8,0,329,0,0,0,5,0,0,0,0,0,0,0,37,56,6
"Defender","Everton",16.2,99,11,6,"a","Leighton","Baines",71,0.2,13.9,4.3,1.5,2070,2,8,5,35,0,0,1,4,0,0,15,352,536,6
"Defender","Everton",1.4,19,11,6,"a","Sylvain","Distin",52,0,3.7,1.6,0,1073,0,1,0,26,0,0,0,0,0,0,1,139,229,6
"Defender","Everton",0.1,0,11,6,"u","Shane","Duffy",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
